Why do Varroa mites prefer nurse bees?	The Varroa mite, Varroa destructor, is an acarine ecto-parasite on Apis mellifera. It is the worst pest of Apis mellifera, yet its reproductive biology on the host is not well understood. In particular, the significance of the phoretic stage, when mites feed on adult bees for a few days, is not clear. In addition, it is not clear whether the preference of mites for nurses observed in the laboratory also happens inside real colonies. We show that Varroa mites prefer nurses over both newly emerged bees and forgers in a colony setting. We then determined the mechanism behind this preference. We show that this preference maximizes Varroa fitness, although due to the fact that each mite must find a second host (a pupa) to reproduce, the fitness benefit to the mites is not immediate but delayed. Our results suggest that the Varroa mite is a highly adapted parasite for honey bees.		human, human experiment, nurse, parasite, Varroa	2016-06-15
Non-cultivated plants present a season-long route of pesticide exposure for honey bees	Recent efforts to evaluate the contribution of neonicotinoid insecticides to worldwide pollinator declines have focused on honey bees and the chronic levels of exposure experienced when foraging on crops grown from neonicotinoid-treated seeds. However, few studies address non-crop plants as a potential route of pollinator exposure to neonicotinoid and other insecticides. Here we show that pollen collected by honey bee foragers in maize- and soybean-dominated landscapes is contaminated throughout the growing season with multiple agricultural pesticides, including the neonicotinoids used as seed treatments. Notably, however, the highest levels of contamination in pollen are pyrethroid insecticides targeting mosquitoes and other nuisance pests. Furthermore, pollen from crop plants represents only a tiny fraction of the total diversity of pollen resources used by honey bees in these landscapes, with the principle sources of pollen originating from non-cultivated plants. These findings provide fundamental information about the foraging habits of honey bees in these landscapes.		2,4 dichlorophenoxyacetic acid, acetamiprid, acetochlor, atrazine, carbamic acid, carbaril, chlorimuron ethyl, clothianidin, coumafos, cyhalothrin, diethyltoluamide, difenoconazole, dimethoate, dimpylate, dinotefuran, fluvalinate, imidacloprid, metalaxyl, methomyl, metolachlor, neonicotinoid, phenothrin, prallethrin, propiconazole, pyrethroid, spinosad, tetramethrin, thiacloprid, thiamethoxam, trifloxystrobin, unclassified drug, foraging behavior, honeybee, insecticide, maize, mosquito, neonicotinoid pesticide, pest species, pollen, pollinator, pollution effect, pollution exposure, population decline, pyrethroid pesticide, soybean, alfalfa, Ambrosia artemisiifolia, Article, clover, environmental exposure, forager, foraging, growing season, honeybee, landscape, maize, nonhuman, pollinator, soybean, species diversity, summer, Apis mellifera, Glycine max, Zea mays	2016-05-31
MelissAR: Towards augmented visual analytics of honey bee behaviour	We present the design and current prototype implementation of MelissAR, an augmented reality system for visual analytics of honey bee behaviour in the field. The system is intended to support bee keepers and other relevant users to monitor honey bee populations and to make effective decisions based on their status. The implementation of MelissAR is based on informed design choices with regard to usability in the field, effective communication of relevant information, and robustness to varying outdoor conditions. © 2016 Authors.		Artificial intelligence, Augmented reality, Decision support systems, Food products, Human computer interaction, Human engineering, Visualization, Augmented reality systems, Effective communication, Honey bee, Information visualisation, Prototype implementations, User interface designs, Visual analytics, User interfaces	2016-05-07
The status of honey bee health in Italy: Results from the nationwide bee monitoring network	In Italy a nation-wide monitoring network was established in 2009 in response to significant honey bee colony mortality reported during 2008. The network comprised of approximately100 apiaries located across Italy. Colonies were sampled four times per year, in order to assess the health status and to collect samples for pathogen, chemical and pollen analyses. The prevalence of Nosema ceranae ranged, on average, from 47-69% in 2009 and from 30-60% in 2010, with strong seasonal variation. Virus prevalence was higher in 2010 than in 2009. The most widespread viruses were BQCV, DWV and SBV. The most frequent pesticides in all hive contents were organophosphates and pyrethroids such as coumaphos and tau-fluvalinate. Beeswax was the most frequently contaminated hive product, with 40% of samples positive and 13% having multiple residues, while 27% of bee-bread and 12% of honey bee samples were contaminated. Colony losses in 2009/10 were on average 19%, with no major differences between regions of Italy. In 2009, the presence of DWV in autumn was positively correlated with colony losses. Similarly, hive mortality was higher in BQCV infected colonies in the first and second visits of the year. In 2010, colony losses were significantly related to the presence of pesticides in honey bees during the second sampling period. Honey bee exposure to poisons in spring could have a negative impact at the colony level, contributing to increase colony mortality during the beekeeping season. In both 2009and 2010, colony mortality rates were positively related to the percentage of agricultural land surrounding apiaries, supporting the importance of land use for honey bee health. © 2016 Porrini et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.		coumafos, organophosphate insecticide, propolis, pyrethroid, tau fluvalinate, unclassified drug, pesticide, Acute bee paralysis virus, adult, animal health, Apis iridescent virus, Article, autumn, bee bread quality, bee monitoring network, biological monitoring, Black queen cell virus, chronic bee paralysis virus, colony loss, contamination, controlled study, deformed wing virus, environmental exposure, geographic distribution, health status, honeybee, insecticide contamination, Israeli acute paralysis virus, Italy, Kashmir bee virus, land use, mortality, nonhuman, Nosema ceranae, parameters, parasite prevalence, protein content, quality control, sacbrood virus, seasonal variation, spring, virus, virus identification, virus infection, animal, apiculture, bee, chemistry, ecosystem monitoring, environmental monitoring, geography, health status, health survey, host pathogen interaction, physiology, pollen, Animals, Beekeeping, Bees, Ecological Parameter Monitoring, Environmental Monitoring, Geography, Health Status, Host-Pathogen Interactions, Italy, Pesticides, Pollen, Population Surveillance	2016-05-01
Weakness and collapse of bee colonies in Brazil: Are there cases of CCD?	In the last decades, the decline of wild bee populations and the collapse of Apis mellifera colonies have concerned researchers and beekeepers. The objective of this review was to compile some of the most relevant studies related to the possible causes of these problems - such as nutrition, management, pathogens, parasites, and the effects of pesticides -, besides presenting a brief history of the colony collapse disorder syndrome (CCD) in the United States and Europe. The studies developed in Brazil were presented in more detail, mainly those on pesticides used in agriculture and on pathogens and parasites that attack the colonies of Africanized A. mellifera. Cases of weakening, decline, and collapse have been recorded in Brazil, mainly in the states of Sï¿½o Paulo and Santa Catarina, which add up to great losses. Results of the analyzed occurrences indicated that the recorded mass mortalities were not associated with pathogens or parasites. Only two cases with characteristics similar to those described for CCD were recorded, but without defined causes. In order to know the causes of the weakening and collapses of colonies, the implementation of official programs is urgent for the systematic survey of bee health, associated with research focusing on assessments of possible impacts of habitat fragmentation and agricultural practices on bee communities.			2016-05-01
Chronic toxicity and physiological changes induced in the honey bee by the exposure to fipronil and Bacillus thuringiensis spores alone or combined	In the agricultural environment, honey bees may be exposed to combinations of pesticides. Until now, the effects of these combinations on honey bee health have been poorly investigated. In this study, we assessed the impacts of biological and chemical insecticides, combining low dietary concentrations of Bacillus thuringiensis (Bt) spores (100 and 1000 μg/L) with the chemical insecticide fipronil (1 μg/L). In order to assess the possible effects of Cry toxins, the Bt kurstaki strain (Btk) was compared with a Bt strain devoid of toxin-encoding plasmids (Bt Cry-). The oral exposure to fipronil and Bt spores from both strains for 10 days did not elicit significant effects on the feeding behavior and survival after 25 days. Local and systemic physiological effects were investigated by measuring the activities of enzymes involved in the intermediary and detoxication metabolisms at two sampling dates (day 10 and day 20). Attention was focused on head and midgut glutathione-S-transferase (GST), midgut alkaline phosphatase (ALP), abdomen glyceraldehyde-3-phosphate dehydrogenase (GAPD) and glucose-6-phosphate dehydrogenase (G6PD). We found that Bt Cry- and Btk spores induced physiological modifications by differentially modulating enzyme activities. Fipronil influenced the enzyme activities differently at days 10 and 20 and, when combined with Bt spores, elicited modulations of some spore-induced physiological responses. These results show that an apparent absence of toxicity may hide physiological disruptions that could be potentially damaging for the bees, especially in the case of combined exposures to other environmental stressors. © 2016 Elsevier Inc.		alkaline phosphatase, fipronil, glucose 6 phosphate dehydrogenase, glutathione transferase, glyceraldehyde 3 phosphate dehydrogenase, antiparasitic agent, bacterial toxin, fipronil, glucose 6 phosphate dehydrogenase, insecticide, pesticide, pyrazole derivative, bacterium, biopesticide, enzyme activity, fipronil, honeybee, physiological response, spore, toxicity, Article, Bacillus thuringiensis, bacterial spore, chronic toxicity, controlled study, enzyme activity, enzyme regulation, feeding behavior, honeybee, nonhuman, physiological process, survival, toxicity testing, adverse effects, agriculture, animal, Bacillus thuringiensis, bacterial spore, bee, biological pest control, environmental exposure, metabolism, microbiology, physiology, procedures, Apis mellifera, Apoidea, Bacillus thuringiensis, Agriculture, Animals, Antiparasitic Agents, Bacillus thuringiensis, Bacterial Toxins, Bees, Environmental Exposure, Glucosephosphate Dehydrogenase, Insecticides, Pest Control, Biological, Pesticides, Pyrazoles, Spores, Bacterial	2016-05-01
Acute exposure to selenium disrupts associative conditioning and long-term memory recall in honey bees (Apis mellifera)	A plethora of toxic compounds - including pesticides, heavy metals, and metalloids - have been detected in honey bees (Apis mellifera) and their colonies. One such compound is selenium, which bees are exposed to by consuming nectar and pollen from flowers grown in contaminated areas. Though selenium is lethal at high concentrations, sublethal exposure may also impair honey bees' ability to function normally. Examining the effect of selenium exposure on learning and memory provides a sensitive assay with which to identify sublethal effects on honey bee health and behavior. To determine whether sublethal selenium exposure causes learning and memory deficits, we used proboscis extension reflex conditioning coupled with recall tests 30 min and 24 h post-conditioning. We exposed forager honey bees to a single sublethal dose of selenium, and 3 h later we used an olfactory conditioning assay to train the bees to discriminate between one odor associated with sucrose-reinforcement and a second unreinforced odor. Following conditioning we tested short- and long-term recall of the task. Acute exposure to as little as 1.8 ng of an inorganic form of selenium (sodium selenate) before conditioning caused a reduction in behavioral performance during conditioning. And, exposure to 18 ng of either an inorganic form (sodium selenate) or an organic form (methylseleno- l-cysteine) of selenium caused a reduction in the bees' performance during the long-term recall test. These concentrations of selenium are lower than those found in the nectar of plants grown in selenium-contaminated soil, indicating that even low-grade selenium toxicity produces significant learning and memory impairments. This may reduce foragers' ability to effectively gather resources for the colony or nurse bees' ability to care for and maintain a healthy colony. © 2016.		cysteine derivative, methylseleno cysteine, selenate, unclassified drug, pollutant, selenium, heavy metal, honeybee, learning, memory, pesticide, selenium, sublethal effect, toxicity, animal behavior, Apis mellifera, Article, associative conditioning, bioassay, concentration (parameters), conditioning, controlled study, forager, learning disorder, lethal dose, long term memory, memory consolidation, memory disorder, nonhuman, olfactory discrimination, toxicity testing, animal, bee, drug effects, learning, pollutant, smelling, statistical model, toxicity, Apis mellifera, Apoidea, Animals, Association Learning, Bees, Environmental Pollutants, Logistic Models, Memory, Long-Term, Olfactory Perception, Selenium	2016-05-01
A toolbox for quantitative gene expression in varroa destructor: RNA degradation in field samples and systematic analysis of reference gene stability	Varroa destructor is the major pest of Apis mellifera and contributes to the global honey bee health crisis threatening food security. Developing new control strategies to combat Varroa will require the application of molecular biology, including gene expression studies by quantitative real-time reverse transcription-polymerase chain reaction (qRT-PCR). Both high quality RNA samples and suitable stable internal reference genes are required for accurate gene expression studies. In this study, ten candidate genes (succinate dehydrogenase (SDHA), NADH dehydrogenase (NADH), large ribsosmal subunit, TATA-binding protein, glyceraldehyde-3-phosphate dehydrogenase, 18S rRNA (18S), heat-shock protein 90 (HSP90), cyclophilin, α-tubulin, actin), were evaluated for their suitability as normalization genes using the geNorm, Normfinder, BestKeeper, and comparative ÄCq algorithims. Our study proposes the use of no more than two of the four most stable reference genes (NADH, 18S, SDHA and HSP90) in Varroa gene expression studies. These four genes remain stable in phoretic and reproductive stage Varroa and are unaffected by Deformed wing virus load. When used for determining changes in vitellogenin gene expression, the signal-to-noise ratio (SNR) for the relatively unstable genes actin and α-tubulin was much lower than for the stable gene combinations (NADH + HSP90 +18S; NADH + HSP90; or NADH). Using both electropherograms and RT-qPCR for short and long amplicons as quality controls, we demonstrate that high quality RNA can be recovered from Varroa up to 10 days later stored at ambient temperature if collected into RNAlater and provided the body is pierced. This protocol allows the exchange of Varroa samples between international collaborators and field sample collectors without requiring frozen collection or shipping. Our results make important contributions to gene expression studies in Varroa by proposing a validated sampling protocol to obtain high quality Varroa RNA and the validation of suitable reference genes for expression studies in this globally important pest. © 2016 Campbell et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.		actin, alpha tubulin, cyclophilin, glyceraldehyde 3 phosphate dehydrogenase, heat shock protein 90, reduced nicotinamide adenine dinucleotide dehydrogenase, ribosome RNA, RNA, succinate dehydrogenase, TATA binding protein, vitellogenin, transcriptome, amplicon, Article, electrophoresis, environmental temperature, gene expression, genetic stability, large ribosomal subunit, nonhuman, pest control, quantitative analysis, real time polymerase chain reaction, reverse transcription polymerase chain reaction, RNA degradation, signal noise ratio, Varroa destructor, virus load, animal, gene expression profiling, genetics, reporter gene, reproducibility, RNA stability, Varroidae, Animals, Gene Expression, Gene Expression Profiling, Genes, Reporter, Real-Time Polymerase Chain Reaction, Reproducibility of Results, RNA Stability, Transcriptome, Varroidae	2016-05-01
Natural Varroa mite-surviving Apis mellifera honeybee populations	The Varroa destructor mite is the largest threat to apiculture worldwide and has been responsible for devastating losses of wild honeybee populations in Europe and North America. However, Varroa mite-resistant populations of A. mellifera honeybees have been reported and documented around the world with a variety of explanations for their long-term survival with uncontrolled mite infestation. This review synthesizes the work on naturally occurring survival to Varroa mites and discusses what these honeybee populations can signify for apiculture. © 2015, The Author(s).		apiculture, honeybee, host-parasite interaction, mite, natural selection, pest resistance, survival, wild population, Europe, North America, Acari, Apis mellifera, Varroa, Varroa destructor	2016-05-01
Disease dynamics of honeybees with Varroa destructor as parasite and virus vector	The worldwide decline in honeybee colonies during the past 50 years has often been linked to the spread of the parasitic mite Varroa destructor and its interaction with certain honeybee viruses carried by Varroa mites. In this paper, we propose a honeybee-mite-virus model that incorporates (1) parasitic interactions between honeybees and the Varroa mites; (2) five virus transmission terms between honeybees and mites at different stages of Varroa mites: from honeybees to honeybees, from adult honeybees to the phoretic mites, from brood to the reproductive mites, from the reproductive mites to brood, and from adult honeybees to the phoretic mites; and (3) Allee effects in the honeybee population generated by its internal organization such as division of labor. We provide completed local and global analysis for the full system and its subsystems. Our analytical and numerical results allow us have a better understanding of the synergistic effects of parasitism and virus infections on honeybee population dynamics and its persistence. Interesting findings from our work include: (a) due to Allee effects experienced by the honeybee population, initial conditions are essential for the survival of the colony. (b) Low adult honeybees to brood ratios have destabilizing effects on the system which generate fluctuating dynamics that lead to a catastrophic event where both honeybees and mites suddenly become extinct. This catastrophic event could be potentially linked to Colony Collapse Disorder (CCD) of honeybee colonies. (c) Virus infections may have stabilizing effects on the system, and parasitic mites could make disease more persistent. Our model illustrates how the synergy between the parasitic mites and virus infections consequently generates rich dynamics including multiple attractors where all species can coexist or go extinct depending on initial conditions. Our findings may provide important insights on honeybee viruses and parasites and how to best control them. © 2016 Elsevier Inc..		Dynamics, Light extinction, Population dynamics, Population statistics, Allee effects, Colony collapse disorder (CCD), Destabilizing effect, Fluctuating dynamics, Honeybees, Multiple attractors, Parasite, Stabilizing effects, Viruses, Allee effect, colony, extinction, honeybee, mite, parasite, population dynamics, virus, Article, brood parasite, disease activity, host parasite interaction, imago, mathematical analysis, mathematical computing, mite, nonhuman, organism colony, parasitism, phoretic mite, population dynamics, reproductive mite, survival, Varroa destructor, varroosis, virus carrier, virus infection, virus transmission, animal, arachnid vector, bee, biological model, colony collapse, mathematical phenomena, parasitology, pathogenicity, transmission, Varroidae, virology, virus infection, Acari, Apis mellifera, Varroa, Varroa destructor, Animals, Arachnid Vectors, Bees, Colony Collapse, Host-Parasite Interactions, Mathematical Concepts, Models, Biological, Varroidae, Virus Diseases	2016-05-01
Multiyear survey targeting disease incidence in US honey bees	The US National Honey Bee Disease Survey sampled colony pests and diseases from 2009 to 2014. We verified the absence of Tropilaelaps spp., the Asian honey bee (Apis cerana), and slow bee paralysis virus. Endemic health threats were quantified, including Varroa destructor, Nosema spp., and eight honey bee viruses. Varroa loads varied across years, with annual fall peaks; Nosema peaked January to April. Migratory beekeepers had significantly lower Varroa prevalence (84.9 vs. 97.0 %) and loads (3.65 ± 0.28 vs. 5.99 ± 0.22) than stationary operations, while Nosema was more prevalent (59.9 vs. 46.7 %) in migratory colonies. Since 2010, chronic bee paralysis virus prevalence doubled annually. We detected strong positive relationships between V. destructor and Varroa-transmitted viruses, between Nosema and Lake Sinai virus 2, and a positive relationship across several viral pathogens of bees. The results provide a disease baseline to help identify drivers of poor bee health. © 2016, INRA, DIB and Springer-Verlag France.		annual review, apiculture, colony, disease incidence, disease prevalence, honeybee, mite, parasite, pest species, spatiotemporal analysis, virus, United States, Apis cerana, Apis mellifera, Apoidea, Chronic bee paralysis virus, Nosema, Tropilaelaps, Varroa, Varroa destructor	2016-05-01
Modulation of pesticide response in honeybees	Honeybee exposure to pesticides is widely accepted, but the role they play in impacting bee health remains controversial. The development of risk assessment procedures is notably a difficult task due to the variability of responses observed for a single pesticide at a specific dose. Indeed, honeybees, during most of their lifetime, are exposed to fluctuating environmental conditions (e.g., pathogen pressure, resource availability, climatic conditions) and can go through important physiological changes within a few days (e.g., behavioral maturation) or even a day (e.g., circadian clock), which are all factors that can affect the bee response to pesticides. Integrating the range of variability in conditions experienced by bees is relevant to honeybee toxicology and will contribute to a better assessment of their susceptibility to pesticides. The aim of this review is therefore to provide empirical evidence of how co-exposure to stressors, and environmental and endogenous factors modulate the honeybee response to pesticide. © 2016, INRA, DIB and Springer-Verlag France.		dose-response relationship, ecotoxicology, environmental factor, health risk, honeybee, pesticide resistance, physiological response, pollution exposure, risk assessment, toxicity test, Apis mellifera, Apoidea	2016-05-01
